sub_disease_name,section_name,parent_disease_name,level
"Measles, Mumps and Rubella (MMR) Vaccine",ImmunizationDim,,0
Measles Rubella Vaccine,ImmunizationDim,,0
Measles Vaccine,ImmunizationDim,,0
Rubella Vaccine,ImmunizationDim,,0
Mumps Vaccine,ImmunizationDim,,0
Hepatitis B Vaccine,ImmunizationDim,,0
Inactivated Polio Vaccine (IPV),ImmunizationDim,,0
DTaP Vaccine,ImmunizationDim,,0
Meningococcal Vaccine,ImmunizationDim,,0
Pneumococcal Conjugate Vaccine (PCV),ImmunizationDim,,0
Influenza Vaccine,ImmunizationDim,,0
Tdap Vaccine,ImmunizationDim,,0
Rotavirus Vaccine,ImmunizationDim,,0
HPV Vaccine,ImmunizationDim,,0
Hib Vaccine,ImmunizationDim,,0
Hepatitis A Vaccine,ImmunizationDim,,0
Varicella Zoster Vaccine (VZV),ImmunizationDim,,0
HPV Vaccination,ImmunizationDim,,0
Pneumococcal Vaccination,ImmunizationDim,,0
Tdap Vaccination,ImmunizationDim,,0
Serum Creatinine,ResultsDim,,0
Blood Glucose,ResultsDim,,0
Digoxin Level,ResultsDim,,0
Urinalysis,ResultsDim,,0
Beta Blocker Therapy,ResultsDim,,0
Ejection Fraction,ResultsDim,,0
Blood Urea,ResultsDim,,0
Lead Tests,ResultsDim,,0
CBC,ResultsDim,,0
LBP: Red Flag Signs Present: CBC,ResultsDim,,0
Hemoglobin,ResultsDim,,0
Urine Protein Tests,ResultsDim,,0
Chlamydia Screening in Women,ResultsDim,,0
Colorectal Cancer Screening,ResultsDim,,0
FOBT Lab Test,ResultsDim,,0
Triglyceride,ResultsDim,,0
Cervical Cancer Screening,ResultsDim,,0
Cervical Cytology,ResultsDim,,0
Pap Test,ResultsDim,,0
Alcohol Use Assessment or Substance Abuse,ResultsDim,,0
PSA Lab Test,ResultsDim,,0
Microalbumin,ResultsDim,,0
Pain Assessment,ResultsDim,,0
Group A Strep Tests,ResultsDim,,0
LDL,ResultsDim,,0
Functional Status Assessment,ResultsDim,,0
Hemoglobin A1c,ResultsDim,,0
HDL,ResultsDim,,0
Total Cholesterol,ResultsDim,,0
Breast Cancer Screening,ResultsDim,,0
Spirometry,ResultsDim,,0
Chlamydia Screening,ResultsDim,,0
HbA1c Lab Test,ResultsDim,,0
Depression Screening,ResultsDim,,0
Eye Exam,ResultsDim,,0
HPV Test,ResultsDim,,0
GFR,ResultsDim,,0
Anxiety Assessment,ResultsDim,,0
International Normalized Ratio,ResultsDim,,0
Cognitive Impairment Assessment,ResultsDim,,0
FIT DNA Lab Test,ResultsDim,,0
Allergies And Adverse Reactions,AllergyDim,,0
Food Allergy,AllergyDim,Allergies And Adverse Reactions,1
Allergy to Eggs,AllergyDim,Food Allergy,2
Egg Substance Allergy,AllergyDim,Food Allergy,2
Medical Equipment Allergy,AllergyDim,Allergies And Adverse Reactions,1
Allergy to IUD,AllergyDim,Medical Equipment Allergy,2
Allergy to Medication,AllergyDim,Allergies And Adverse Reactions,1
Allergy to ACE Inhibitor and ARB,AllergyDim,Allergy to Medication,2
Allergy to Anti Neoplastic Therapy,AllergyDim,Allergy to Medication,2
Allergy to ARB Inhibitor,AllergyDim,Allergy to Medication,2
Allergy to Beta Blocker Therapy,AllergyDim,Allergy to Medication,2
Allergy to Neomycin,AllergyDim,Allergy to Medication,2
Allergy to PolymyxinB,AllergyDim,Allergy to Medication,2
Allergy to Streptomycin,AllergyDim,Allergy to Medication,2
Allergy to Streptomycin/Neomycin/PolymyxinB,AllergyDim,Allergy to Medication,2
Allergy to Tamoxifen Aromatase Inhibitor Therapy,AllergyDim,Allergy to Medication,2
Vaccine Allergy,AllergyDim,Allergies And Adverse Reactions,1
Allergy to Influenza Vaccine,AllergyDim,Vaccine Allergy,2
Allergy to MMR Vaccine,AllergyDim,Vaccine Allergy,2
Allergy to Pneumococcal Vaccine,AllergyDim,Vaccine Allergy,2
Allergy to Varicella Zoster Vaccine,AllergyDim,Vaccine Allergy,2
Vaccine/ Meds Allergy,AllergyDim,Allergies And Adverse Reactions,1
Allergy to Flu Vaccine/Neomycin,AllergyDim,Vaccine/ Meds Allergy,2
Allergies And Intolerance,AllergyDim,,0
Allergy and Intolerance to Medication,AllergyDim,Allergies And Intolerance,1
Allergy and Intolerance to Beta_Blocker,AllergyDim,Allergy and Intolerance to Medication,2
Intolerance,AllergyDim,,0
Intolerance to Medication,AllergyDim,Intolerance,1
Intolerance to ACE inhibitor or ARB inhibitor,AllergyDim,Intolerance to Medication,2
Intolerance to Antineoplastic Therapy,AllergyDim,Intolerance to Medication,2
Intolerance to Beta Blocker Therapy,AllergyDim,Intolerance to Medication,2
Intolerance Tamoxifen Aromatase Therapy,AllergyDim,Intolerance to Medication,2
Intolerance to Warfarin Therapy,AllergyDim,Intolerance to Medication,2
Intolerance to Capecitabine,AllergyDim,Intolerance to Medication,2
Intolerance to Fluorouracil,AllergyDim,Intolerance to Medication,2
Intolerance to Leucovorin,AllergyDim,Intolerance to Medication,2
Intolerance to Oxaliplatin,AllergyDim,Intolerance to Medication,2
Vaccine Intolerance,AllergyDim,Intolerance,1
Intolerance to Influenza Vaccine,AllergyDim,Vaccine Intolerance,2
Encounter,EncountersDim,,0
Emergency Department Visit,EncountersDim,Encounter,1
Acute Inpatient or ED Visit,EncountersDim,Emergency Department Visit,2
Inpatient Visit or ED Visit,EncountersDim,Emergency Department Visit,2
Inpatient Encounter,EncountersDim,Encounter,1
Acute Inpatient Encounter,EncountersDim,Inpatient Encounter,2
Acute Inpatient or Outpatient Encounter,EncountersDim,Inpatient Encounter,2
Acute Inpatient or ED Encounter,EncountersDim,Inpatient Encounter,2
Acute or Non-acute Inpatient Encounter,EncountersDim,Inpatient Encounter,2
Inpatient or Emergency Encounter,EncountersDim,Inpatient Encounter,2
Inpatient or Observation Encounter,EncountersDim,Inpatient Encounter,2
Inpatient Discharge Services,EncountersDim,Inpatient Encounter,2
Non acute Inpatient Encounter,EncountersDim,Inpatient Encounter,2
Non acute Inpatient or Outpatient Encounter,EncountersDim,Inpatient Encounter,2
Home Health/ Outpatient Visits,EncountersDim,Encounter,1
Outpatient Visits,EncountersDim,Encounter,1
Ambulatory Visits,EncountersDim,Outpatient Visits,2
AWV,EncountersDim,Encounter,1
Depression Screening/ Annual Wellness Visits,EncountersDim,AWV,2
IPPE Visit,EncountersDim,AWV,2
Psychotherapy/Home Health Visits/Office Visits/AWV,EncountersDim,AWV,2
Medications,PatientMedicationDim,,0
5-Alpha-Reductase Inhibitors,PatientMedicationDim,Medications,1
ACE Inhibitors,PatientMedicationDim,Medications,1
ACEI And ARB,PatientMedicationDim,Medications,1
ADHD Medications,PatientMedicationDim,Medications,1
Alcohol Use Disorder Treatment Medications,PatientMedicationDim,Medications,1
Alkylating Agents,PatientMedicationDim,Medications,1
Cyclophosphamide,PatientMedicationDim,Alkylating Agents,2
Oxaliplatin,PatientMedicationDim,Alkylating Agents,2
Alpha adrenergic receptor agonists,PatientMedicationDim,Medications,1
Alpha-2 Adrenergic Receptor Antagonists,PatientMedicationDim,Alpha adrenergic receptor agonists,2
Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim,Alpha adrenergic receptor agonists,2
Aminoglycosides,PatientMedicationDim,Medications,1
Neomycin,PatientMedicationDim,Aminoglycosides,2
Analgesics,PatientMedicationDim,Medications,1
Angiotensin II Receptor Blockers,PatientMedicationDim,Medications,1
Anti Thrombotics,PatientMedicationDim,Medications,1
Anorexiants,PatientMedicationDim,Medications,1
Lorcaserin,PatientMedicationDim,Anorexiants,2
Anti Infectives,PatientMedicationDim,Medications,1
Antiadrenergics,PatientMedicationDim,Medications,1
Reserpine,PatientMedicationDim,Antiadrenergics,2
Antiarrhythmics,PatientMedicationDim,Medications,1
Digoxin,PatientMedicationDim,Antiarrhythmics,2
Antiasthmatics,PatientMedicationDim,Medications,1
Antiasthmatics Without Leukotrine Modifiers,PatientMedicationDim,Antiasthmatics,2
Antibiotics,PatientMedicationDim,Medications,1
