Adhoc_Param_Syn_Lower,Ad-hoc_Param,Entity
food allergy,Food Allergy,AllergyDim
allergic reaction to food,Food Allergy,AllergyDim
food intolerance,Food Allergy,AllergyDim
ige-mediated food allergy,Food Allergy,AllergyDim
non-ige-mediated food allergy,Food Allergy,AllergyDim
food sensitivity,Food Allergy,AllergyDim
adverse food reaction,Food Allergy,AllergyDim
egg allergy,Allergy to Eggs,AllergyDim
ovalbumin allergy,Allergy to Eggs,AllergyDim
egg white allergy,Allergy to Eggs,AllergyDim
egg yolk allergy,Allergy to Eggs,AllergyDim
egg protein allergy,Allergy to Eggs,AllergyDim
allergy to eggs,Allergy to Eggs,AllergyDim
egg allergy,Egg Substance Allergy,AllergyDim
ovalbumin allergy,Egg Substance Allergy,AllergyDim
egg white allergy,Egg Substance Allergy,AllergyDim
egg yolk allergy,Egg Substance Allergy,AllergyDim
egg protein allergy,Egg Substance Allergy,AllergyDim
egg substance allergy,Egg Substance Allergy,AllergyDim
equipment allergy,Medical Equipment Allergy,AllergyDim
device allergy,Medical Equipment Allergy,AllergyDim
implant allergy,Medical Equipment Allergy,AllergyDim
surgical instrument allergy,Medical Equipment Allergy,AllergyDim
prosthetic allergy,Medical Equipment Allergy,AllergyDim
medical equipment allergy,Medical Equipment Allergy,AllergyDim
iud allergy,Allergy to IUD,AllergyDim
intrauterine device allergy,Allergy to IUD,AllergyDim
copper t allergy,Allergy to IUD,AllergyDim
hormonal iud allergy,Allergy to IUD,AllergyDim
mirena allergy,Allergy to IUD,AllergyDim
paragard allergy,Allergy to IUD,AllergyDim
allergy to iud,Allergy to IUD,AllergyDim
medication allergy,Allergy to Medication,AllergyDim
drug allergy,Allergy to Medication,AllergyDim
pharmaceutical allergy,Allergy to Medication,AllergyDim
prescription drug allergy,Allergy to Medication,AllergyDim
medicine allergy,Allergy to Medication,AllergyDim
allergy to medication,Allergy to Medication,AllergyDim
acei allergy,Allergy to ACE Inhibitor and ARB,AllergyDim
arb allergy,Allergy to ACE Inhibitor and ARB,AllergyDim
angiotensin-converting enzyme inhibitor allergy,Allergy to ACE Inhibitor and ARB,AllergyDim
angiotensin receptor blocker allergy,Allergy to ACE Inhibitor and ARB,AllergyDim
allergy to ace inhibitor and arb,Allergy to ACE Inhibitor and ARB,AllergyDim
anti-cancer drug allergy,Allergy to Anti Neoplastic Therapy,AllergyDim
chemo allergy,Allergy to Anti Neoplastic Therapy,AllergyDim
chemotherapy allergy,Allergy to Anti Neoplastic Therapy,AllergyDim
oncology allergy,Allergy to Anti Neoplastic Therapy,AllergyDim
cytotoxic agent allergy,Allergy to Anti Neoplastic Therapy,AllergyDim
allergy to anti neoplastic therapy,Allergy to Anti Neoplastic Therapy,AllergyDim
arb allergy,Allergy to ARB Inhibitor,AllergyDim
angiotensin receptor blocker allergy,Allergy to ARB Inhibitor,AllergyDim
arb drug allergy,Allergy to ARB Inhibitor,AllergyDim
angiotensin ii receptor antagonist allergy,Allergy to ARB Inhibitor,AllergyDim
allergy to arb inhibitor,Allergy to ARB Inhibitor,AllergyDim
allergy to beta-blockers,Allergy to Beta Blocker Therapy,AllergyDim
beta-blocker hypersensitivity,Allergy to Beta Blocker Therapy,AllergyDim
beta-blocker allergic reaction,Allergy to Beta Blocker Therapy,AllergyDim
beta-blocker intolerance,Allergy to Beta Blocker Therapy,AllergyDim
