"sub_disease_name","section_name"
Antibiotics,PatientMedicationDim
Medications,PatientMedicationDim
Dementia Medications,PatientMedicationDim
Diabetes Medications without Metformin,PatientMedicationDim
Glucagon-like peptide-1,PatientMedicationDim
Incretin Hormones,PatientMedicationDim
Anticonvulsants,PatientMedicationDim
ADHD Medications,PatientMedicationDim
Antipsychotics,PatientMedicationDim
Typical/Atypical Antipsychotics,PatientMedicationDim
Osteoporosis Medication,PatientMedicationDim
Antirheumatics,PatientMedicationDim
Insulins,PatientMedicationDim
Statins,PatientMedicationDim
Corticosteroids,PatientMedicationDim
Steroids,PatientMedicationDim
ACEI And ARBs,PatientMedicationDim
Pitavastatin,PatientMedicationDim
NSAIDs,PatientMedicationDim
Xanthines/Corticosteroids,PatientMedicationDim
Diuretics,PatientMedicationDim
Immunizations for bacterial infections,PatientMedicationDim
Pneumococcal Vaccine,PatientMedicationDim
Systemic Corticosteroids,PatientMedicationDim
Janumet,PatientMedicationDim
Metformin,PatientMedicationDim
Metformin Combination Therapy,PatientMedicationDim
Sitagliptin,PatientMedicationDim
Antiasthmatics,PatientMedicationDim
Antileukotrienes,PatientMedicationDim
Corticosteriods,PatientMedicationDim
Simvastatin,PatientMedicationDim
Lovastatin,PatientMedicationDim
Ertugliflozin,PatientMedicationDim
Segluromet,PatientMedicationDim
Beta Blockers,PatientMedicationDim
Contraceptives,PatientMedicationDim
High Risk Medications,PatientMedicationDim
Urinary Antispasmodics,PatientMedicationDim
Antiplatelets,PatientMedicationDim
Aspirin and clopidogrel,PatientMedicationDim
Anxiolytics/Sedatives/Hypnotics,PatientMedicationDim
Nonbenzodiazepine Hypnotics,PatientMedicationDim
Antispasmodics,PatientMedicationDim
Rosuvastatin,PatientMedicationDim
Asthma Exclusions Medications,PatientMedicationDim
Antihyperlipidemics,PatientMedicationDim
Ezetimibe,PatientMedicationDim
Atorvastatin,PatientMedicationDim
Alcohol Use Disorder Treatment Medications,PatientMedicationDim
Opioid Use Disorder Treatment Medications,PatientMedicationDim
Doxepin,PatientMedicationDim
Bronchodilators,PatientMedicationDim
Inhaling Bronchodilators,PatientMedicationDim
Long-acting bronchodilator inhalers,PatientMedicationDim
Antiarrhythmics,PatientMedicationDim
Digoxin,PatientMedicationDim
Alogliptin,PatientMedicationDim
OTC Medications,PatientMedicationDim
Antiasthmatics Without Leukotrine Modifiers,PatientMedicationDim
Antiepileptic Agents,PatientMedicationDim
Valproate,PatientMedicationDim
ACE Inhibitors,PatientMedicationDim
ACEI or ARB Diuretics,PatientMedicationDim
Estrogen Agonists,PatientMedicationDim
Glyburide,PatientMedicationDim
ARB Inhibitors,PatientMedicationDim
Basic Metabolic Panel,ResultsDim
LFTs,ResultsDim
CT / MRI Abd Pelvis,ResultsDim
Imaging,ResultsDim
CEA Test (Carcinoembryonic Antigen),ResultsDim
Cancer Screening,ResultsDim
Leukemia,ResultsDim
RFTs,ResultsDim
estimated glomerular filtration rate (eGFR) EGFR,ResultsDim
Diabetes Screening,ResultsDim
Glycemic Level,ResultsDim
HbA6c Tests,ResultsDim
Chlamydia Screening,ResultsDim
Pregnancy test,ResultsDim
Genetic Testing,ResultsDim
Electrolyte Test Electrolytes/ Sodium,ResultsDim
Sweat Chloride Test,ResultsDim
Biochemical Tests,ResultsDim
Natriuretic peptide (BNP) Test,ResultsDim
Vitamin D Level,ResultsDim
Vitamin Levels,ResultsDim
Vitamin panel,ResultsDim
FPC Rh,ResultsDim
HCV Antibody Test,ResultsDim
Hapatitis Serological Marker,ResultsDim
LAB Result Positive,ResultsDim
Lab Result,ResultsDim
Free T4,ResultsDim
Free Thyroid T4,ResultsDim
Thyroid Function Tests,ResultsDim
CBC with Blast cells,ResultsDim
Peripheral Blood Bone Marrow (BM) Blasts,ResultsDim
Peripheral blood smears,ResultsDim
Blast cells,ResultsDim
Blasts,ResultsDim
Coagulation Profile,ResultsDim
